seq,date,time,event_id,chair,pid,gid,dwell_sec,snapshot_paths
1,2026-02-12,09:35:05,2026-02-12T09-35-05.648,CHAIR_1,1,1,10.0,snapshots/2026-02-12/2026-02-12T09-35-05.648_Camera_01_CHAIR_1_pid1_gid1.jpg
2,2026-02-12,09:35:31,2026-02-12T09-35-31.556,CHAIR_2,2,2,12.3,snapshots/2026-02-12/2026-02-12T09-35-31.556_Camera_01_CHAIR_2_pid2_gid2.jpg|snapshots/2026-02-12/2026-02-12T09-35-31.556_Camera_02_CHAIR_2_pid2_gid2.jpg
3,2026-02-12,09:37:34,2026-02-12T09-37-34.699,CHAIR_1,17,15,10.0,snapshots/2026-02-12/2026-02-12T09-37-34.699_Camera_01_CHAIR_1_pid17_gid15.jpg
1,2026-02-12,10:04:05,2026-02-12T10-04-05.775,HAIRCUT,CHAIR_1,1,1,10.1,snapshots/2026-02-12/2026-02-12T10-04-05.775_HAIRCUT_CHAIR_1_Camera_01_pid1_gid1.jpg
1,2026-02-12,10:04:05,2026-02-12T10-04-05.775,WASH,WASH,2,2,10.6,snapshots/2026-02-12/2026-02-12T10-04-05.775_WASH_WASH_Camera_01_pid2_gid2.jpg|snapshots/2026-02-12/2026-02-12T10-04-05.775_WASH_WASH_Camera_02_pid2_gid2.jpg
2,2026-02-12,10:04:10,2026-02-12T10-04-10.213,HAIRCUT,CHAIR_3,2,2,10.0,snapshots/2026-02-12/2026-02-12T10-04-10.213_HAIRCUT_CHAIR_3_Camera_01_pid2_gid2.jpg|snapshots/2026-02-12/2026-02-12T10-04-10.213_HAIRCUT_CHAIR_3_Camera_02_pid2_gid2.jpg
