timestamp,camera,event_type,person_id,zone_name,dwell_seconds,metadata
2026-02-19T12:22:35.991886,Camera_02,haircut,25,CHAIR_1,120.14,"{""gid"": 25, ""bbox"": [457.24603271484375, 154.60052490234375, 537.2603149414062, 367.12762451171875], ""snapshot_path"": ""snapshots/20260219_122242_HAIRCUT_Camera_02_P25_G25.jpg""}"
2026-02-19T17:19:00.499581,Camera_02,wash,195,WASH,109.34,"{""gid"": 195, ""bbox"": [48.90010070800781, 167.84042358398438, 86.4927978515625, 303.65924072265625], ""snapshot_path"": ""snapshots/20260219_171905_WASH_Camera_02_P195_G195.jpg""}"
2026-02-19T17:23:24.947202,Camera_02,haircut,209,CHAIR_2,224.3,"{""gid"": 209, ""bbox"": [213.46823120117188, 150.87847900390625, 276.9529724121094, 397.2869873046875], ""snapshot_path"": ""snapshots/20260219_172328_HAIRCUT_Camera_02_P209_G209.jpg""}"
2026-02-19T17:34:45.372163,Camera_02,haircut,235,CHAIR_1,120.2,"{""gid"": 235, ""bbox"": [454.58233642578125, 247.5632781982422, 538.479248046875, 451.89044189453125], ""snapshot_path"": ""snapshots/20260219_173454_HAIRCUT_Camera_02_P235_G235.jpg""}"
